district,no_of_rooms,floor_area_sqm,remaining_lease,resale_price
4,3,61,56,235000
4,3,59,60,239500
4,3,66,57,245000
4,3,59,60,248000
4,3,64,67,253000
4,3,67,54,255000
4,3,67,53,255000
4,3,65,59,268000
4,3,67,54,270000
4,3,65,59,270000
4,3,64,68,275000
4,3,67,65,275000
4,3,67,67,284000
4,3,65,59,285000
4,3,67,67,285000
4,3,67,65,295000
4,3,67,65,308800
4,3,67,65,320000
4,3,59,57,235000
4,3,61,56,245000
4,3,67,54,255000
4,3,68,60,255000
4,3,67,65,255000
4,3,61,56,257500
4,3,65,59,260000
4,3,65,59,261000
4,3,67,54,263000
4,3,67,67,275000
4,3,67,94,320000
4,3,68,57,260000
4,3,59,60,248000
4,3,59,57,230000
4,3,59,60,220000
4,3,59,57,240000
4,3,59,60,266000
4,3,65,59,316000
4,3,65,58,265000
4,3,67,54,255000
4,3,67,67,270000
4,3,67,65,290000
4,3,67,65,295000
4,3,61,56,240000
4,3,61,56,233000
